Respondent ID,Collector ID,Start Date,End Date,IP Address,Latitude,Longitude,What is your relationship to the Township?,,,,,In what section of the township do you live?,How many years have you lived in the Township?,,,,,,What are the ages of those living in your house? Check all that apply.,,,,,,,Where do members of your household work? Check all that apply.,,,,,,,,,,,,,What are the top two reasons you live in the Township?,,,,,,,,,Do you rent or own your home? ,Is farming your family's primary source of income?,"If you are a farmer, how many acres do you own?",How many acres do you own?,How likely are you to sell your property in the next 12 months,The Township needs more of which type(s) of housing units? Check all that apply.,,,,,,,Would You Consider Yourself: ,Which type(s) of commercial development would you like to see in the Township? Check all that apply.,,,,,,,,Which type(s) of job-creating employment opportunities would you like to see in the Township? Check all that apply. ,,,,,,,What are methods of encouraging businesses/industry you would support?,,,,,,,Would you like to see more public parkland in the Township?,How important is it to use land use planning and zoning in the following manner:,,,,,Do you feel the following services are needed or should be improved? Check all that apply.,,,,,,,,Items for which you would support an additional tax. Check all that apply. ,,,,,,,,,,Which type of tax would you support for such services? ,,"In your opinion, is it important to work with adjacent communities to coordinate growth?",Do you think a bike path system should be strategically created for recreation and possibly commuting purposes in the Township?,,Please feel free to comment on issues affecting the Township that are not addressed in this survey.
,,,,,,,I live in Etna Township,Don't live here but own property in the Township,Own a business in the Township,I work in Etna Township but live elsewhere,Other (please specify),Response,0 - 4 Years,5 - 9 Years,10 - 19 Years,20 - 39 Years,Over 40 Years,I do not live in the Township,0 - 5 Years Old,6 - 12 Years Old,13 - 18 Years Old,19 - 25 Years Old,26 - 44 Years Old,45 - 65 Years Old,66+ Years Old,Etna Township,Reynoldsburg,Newark,Granville,Johnstown,Pataskala,Columbus,New Albany,Heath,Elsewhere in Licking County,Elsewhere in Franklin County,Retired,Unemployed,Quiet for Retirement,Access to Employment,Friendliness,Cleanliness,School System,Lack of Congestion,Rural Atmosphere,My Family has Lived Here for Generations,Other (please specify),Response,Response,Response,Response,Open-Ended Response,None of the above,Farm House/Large Lot,Single Family,Townhome/Condo,Accessory Dwelling Units,Senior/Assisted Living,Gated Communities,Response,Large Shopping Mall (Easton/Polaris),Strip Shopping Areas,Rural Home Occupations,Neighborhood Commercial,Agri-Business,Manufacturing,Logistics & Warehousing,Other (please specify),None of the above,Light Manufacturing,Heavy Manufacturing,Office/Service,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,Other (please specify),None of the above,Tax Reductions,Relaxed Zoning,Job Training,Business Centers,Industrial Park,Other (please specify),Response,Protection of Flood Plains,Protection of Sensitive Wetlands,Protection of Steep Areas Prone to Erosion,Protection of Farmland,Protection of Air Quality,None of the above,Broadband Internet,Central Water,Central Sewer,Recycling,Adopt-A-Highway,Natural Gas,Other (please specify),None of the above,Recycling,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,Other (please specify),Response,Other (please specify),Response,Response,Maybe (please specify),Open-Ended Response
118219934487,448603621,2023-01-15 06:39:31,2023-01-15 06:47:41,172.56.20.181,36.1622767,-86.7742984,I live in Etna Township,,,,,4 (NE),,,10 - 19 Years,,,,0 - 5 Years Old,6 - 12 Years Old,,,26 - 44 Years Old,,,Etna Township,,,,,,,,,,Elsewhere in Franklin County,,,,,Friendliness,Cleanliness,,Lack of Congestion,Rural Atmosphere,,Property sizes va comparable areas,Own,No - we have other occupations.,,< 2 Acres,90,,Farm House/Large Lot,,,,,,Pro Limited Growth,,Strip Shopping Areas,,,,,,,,,,,,Maintain Current Farming and Agricultural Base,,,Tax Reductions,,,,,,Yes,Somewhat,Somewhat,Somewhat,Very,Very,None of the above,,,,,,,,,,,Improve Emergency Services,,,,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,No,,
118217484134,447972561,2023-01-11 17:25:04,2023-01-11 17:32:37,172.56.20.205,36.7620301,-83.6949176,I live in Etna Township,,,,,5 (SE),,,10 - 19 Years,,,,0 - 5 Years Old,,,,26 - 44 Years Old,,,,Reynoldsburg,,,,,Columbus,,,,,,,Quiet for Retirement,,Friendliness,,,Lack of Congestion,Rural Atmosphere,My Family has Lived Here for Generations,,Own,No - we have other occupations.,0 - 5 Acres,< 2 Acres,61,,Farm House/Large Lot,,,,,,Anti Growth,,,Rural Home Occupations,Neighborhood Commercial,Agri-Business,,,"Large lot homes acre or more lots, parks,",,,,,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Somewhat,Very,Very,,Broadband Internet,Central Water,Central Sewer,,,Natural Gas,,None of the above,,,,,,,,,,None of the above,,Somewhat important,Maybe (please specify),Recreation in a park not commuting ,"Community vote on developments. No tax breaks for business.  No over crowded house development,  any development should have  high lots and green areas and high end homes not cheap low income over crowded keep the Community nice with development not lowering the area"
118216673906,448603621,2023-01-10 18:02:03,2023-01-11 07:37:15,76.34.143.132,39.9955726,-82.6742373,I live in Etna Township,,,,,3 (SW),,,10 - 19 Years,,,,0 - 5 Years Old,6 - 12 Years Old,,19 - 25 Years Old,,,,,,,,,Pataskala,,,,,,,,,Access to Employment,,,School System,,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,,,,,Gated Communities,Pro Limited Growth,Large Shopping Mall (Easton/Polaris),,,,,,,,,,,,,Maintain Current Farming and Agricultural Base,,,,Relaxed Zoning,,,,,Yes,Somewhat,Somewhat,Somewhat,Very,Not,,Broadband Internet,,,,,,,,,,,Improve Schools,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Property Tax Levy,,Somewhat important,Yes,,
118216674775,448603621,2023-01-10 18:00:17,2023-01-10 18:09:08,76.34.143.132,39.9955726,-82.6742373,I live in Etna Township,,,,,5 (SE),0 - 4 Years,,,,,,0 - 5 Years Old,6 - 12 Years Old,,19 - 25 Years Old,26 - 44 Years Old,,,,,,,,Pataskala,,,,,,,,,Access to Employment,,,School System,,,,,Rent,No - we have other occupations.,0 - 5 Acres,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,Strip Shopping Areas,,,Agri-Business,,,,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Somewhat,Somewhat,Somewhat,Very,Very,None of the above,,,,,,,,,,,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,,,,None of the above,,Somewhat important,Yes,,N/A
118216268009,448603621,2023-01-10 09:34:50,2023-01-10 09:43:03,172.225.30.234,39.9622601,-83.0007065,I live in Etna Township,,,,,2 (NW),,5 - 9 Years,,,,,,6 - 12 Years Old,,,26 - 44 Years Old,,,Etna Township,,,,,,,,,,,,,,,,,,Lack of Congestion,,,,Own,No - we have other occupations.,,< 2 Acres,100,None of the above,,,,,,,Anti Growth,,,Rural Home Occupations,,,,,,,,,,,Maintain Current Farming and Agricultural Base,,,,,,,,None,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,Broadband Internet,,,,,Natural Gas,More fiber optic internet options or more internet options besides Spectrum!!,,,,,Improve Schools,,,,Improve/Provide Parks and Recreation Facilities,,Local License Tax for Roads,,Very important,Yes,,N/A
118216268181,447972561,2023-01-10 09:36:22,2023-01-10 09:42:50,76.181.226.209,39.9622601,-83.0007065,I live in Etna Township,,,,,4 (NE),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,School System,Lack of Congestion,,,,Own,No - we have other occupations.,,,50,None of the above,,,,,,,Pro Limited Growth,,,,Neighborhood Commercial,,,,,,,,,Recreation/Resort Activity,,,,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,,,Natural Gas,,,,,,Improve Schools,Provide Social Services For All Ages,,,Improve/Provide Parks and Recreation Facilities,,Property Tax Levy,,Very important,Yes,,I think the biggest post ale in the township right now is the Trustees not working together.
118215969812,448603621,2023-01-09 23:47:57,2023-01-09 23:59:03,107.217.89.87,39.7683331,-86.1583502,,Don't live here but own property in the Township,,,,2 (NW),,,,20 - 39 Years,,I do not live in the Township,,,,,,,,,,,,,,,,,,,Retired,,,,,,,,,My Family has Lived Here for Generations,Moved out of state in 98. Prior to that multi generational since 1945. Still own homesteaf,Own,No - we have other occupations.,,51 - 75 Acres,69,,Farm House/Large Lot,Single Family,,,Senior/Assisted Living,,Pro Growth,,,,,Agri-Business,Manufacturing,Logistics & Warehousing,,,Light Manufacturing,,,,,,,Tax Reductions,Relaxed Zoning,,,Industrial Park,,Yes,Somewhat,Somewhat,Very,Somewhat,Somewhat,,,Central Water,Central Sewer,,,Natural Gas,,,,,,,,Improve Police Protection,Central Water and Sewer Facilities,,,Income (in association with Joint Economic Development District),,Somewhat important,No,,
118215521500,448603621,2023-01-09 10:30:18,2023-01-09 10:49:18,107.116.7.22,41.0413873,-83.6503982,I live in Etna Township,,,,,1 (Reynoldsburg),,,10 - 19 Years,,,,,,13 - 18 Years Old,,,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,,,,,,,,,"The homes and community looked well taken care of. The community was in close proximity of shopping, freeway, parks, it was/is dog friendly, and the homes were affordable. Community was MUCH quieter than our Columbus home.",Own,No - we have other occupations.,,< 2 Acres,27,,,Single Family,,Accessory Dwelling Units,Senior/Assisted Living,,Pro Limited Growth,,,,,,,,"Greenspan, dog parks, family recreation.",,,,,Recreation/Resort Activity,,,,Tax Reductions,,,,,,Yes,Very,Very,Very,Somewhat,Very,,Broadband Internet,,,Recycling,,Natural Gas,,,Recycling,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Income (in association with Joint Economic Development District),,Very important,Yes,,Excessive Noise Ordinance should be reintroduced . 
118214836273,447972561,2023-01-07 22:15:57,2023-01-07 22:24:45,172.58.60.193,39.7392364,-104.984862,I live in Etna Township,,,,,2 (NW),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,,,,Moved here for the school. Now looking to leave.,Own,No - we have other occupations.,,< 2 Acres,47,None of the above,,,,,,,Anti Growth,,,,,Agri-Business,,,,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,None of the above,,,,,,,,None of the above,,,,,,,,,,None of the above,,Somewhat important,Yes,,
